#{"t_start": 1684990955.8267813, "env_id": "donkey-waveshare-v0"}
r,l,t
12.186886,48,12.052049
21.954295,51,14.102752
10.164429,53,16.158021
22.922249,72,18.567009
7.787258,33,26.967116
22.922099,67,29.308794
16.161463,49,31.349491
14.295994,50,33.407584
26.513041,67,35.746308
5.460658,48,45.08149
18.838205,55,47.16191
19.295103,49,49.176842
15.301835,53,51.257627
29.830227,58,53.419611
3.457103,16,61.893744
24.502314,57,64.054924
20.251795,46,66.038522
30.262209,64,68.36074
32.388836,75,70.797315
10.723685,67,79.536814
38.296418,70,81.899361
25.139674,59,84.085027
24.213801,74,92.367734
23.799755,82,94.93646
24.197316,69,97.260408
31.46972,79,99.743423
2.794578,26,107.14837
30.759878,91,109.846269
14.974513,60,112.057573
18.69353,48,114.055233
19.997788,57,121.900413
24.933979,63,124.138754
27.2191,65,126.398003
24.165305,68,128.729177
21.233826,54,130.831096
-1.0,6,137.851178
35.911701,76,140.292162
19.947913,48,142.305096
14.215411,41,144.176796
27.426962,50,146.222177
17.079136,41,154.883635
43.612648,72,157.317719
33.870917,59,159.526662
19.844721,62,161.782885
32.611593,63,169.787381
65.517033,89,172.450959
28.166519,51,174.485234
33.424293,68,176.83343
16.369713,48,184.729089
41.411722,72,187.098453
44.450763,68,189.434
31.310536,57,191.60897
26.341732,59,199.588567
30.393775,68,201.903027
40.445055,73,204.370907
36.608116,64,206.705445
21.721386,51,214.509031
33.479636,82,217.046287
53.274745,83,219.668763
55.955687,91,227.449493
9.726658,35,229.23016
32.952047,86,231.836126
84.949146,135,240.470756
27.489253,54,242.582403
24.281679,69,244.948897
28.144347,70,247.338816
11.466555,49,249.355088
0.343435,14,256.776213
29.7913,60,258.998413
29.928744,65,261.331027
34.92889,66,263.604226
39.248283,65,271.828527
30.061832,59,273.999307
48.308343,66,276.298267
37.632445,74,278.78217
87.568238,138,288.422701
28.356667,60,290.620771
54.8496,86,293.317832
9.336793,29,301.893191
62.839603,95,304.672065
34.091769,57,306.827881
30.627937,58,308.970487
26.730219,46,317.182754
24.655402,63,319.402305
15.033707,43,321.316436
38.965958,75,323.741262
38.38226,72,326.138361
-1.0,3,333.641085
53.766472,69,335.976594
30.407519,80,338.496622
45.944883,86,341.139435
65.973929,119,350.517579
119.445863,140,354.042708
0.882138,18,361.360734
37.415674,65,363.632331
159.518019,191,373.627229
75.784786,97,376.457698
31.199683,49,378.474295
47.713952,83,381.024852
10.17246,27,388.348234
104.012618,106,391.274324
42.900538,74,393.715595
49.521945,76,401.885863
41.526708,66,404.168411
46.223612,93,406.916275
32.031055,64,409.243823
10.675029,33,418.565763
62.515979,101,421.433324
12.638835,41,423.303733
40.33915,69,425.6653
11.359179,39,427.526225
27.841539,69,436.497516
9.082969,32,438.236209
36.930662,83,440.759877
39.829151,75,443.249334
48.42904,84,451.566834
108.407239,165,455.479184
-0.938132,10,462.745289
51.293791,78,465.243812
41.340188,69,467.582422
85.965506,109,476.449738
133.534178,230,481.50989
-0.897956,26,489.094791
89.526482,154,492.7897
56.071181,97,495.579874
48.704984,104,504.776328
53.485663,112,507.851326
15.499494,45,516.164526
75.185325,147,519.771247
49.634008,89,522.42242
2.53471,20,529.618016
113.616019,158,533.418958
49.111666,98,542.046395
102.449365,173,546.066469
32.67423,83,554.483455
31.746125,71,556.878807
120.248515,175,560.978659
-0.959595,10,568.218368
55.336008,125,571.443461
81.558354,131,580.585115
93.405733,160,584.385894
44.457474,96,592.886858
96.208216,145,596.439173
76.918684,111,605.317948
159.403771,256,617.62051
131.114076,256,628.805215
167.745291,256,640.187237
33.674759,71,642.570794
31.300274,59,644.706694
30.430177,62,646.965401
23.29832,60,649.110036
14.237555,62,657.191936
27.229392,44,659.154723
79.425784,147,662.77999
48.267065,45,670.750434
63.988296,107,673.730641
32.052682,56,675.844052
35.330695,55,683.846658
37.73214,81,686.377121
92.906482,126,689.616848
16.629532,49,697.479749
38.258913,80,699.990277
119.688372,151,703.701161
9.252602,25,711.188226
233.783995,256,722.347992
39.172442,74,724.786354
36.393404,56,726.902911
106.830328,126,736.067915
87.503654,126,739.31571
51.549732,78,741.829704
29.468896,52,751.437385
47.798768,103,754.329362
136.244538,152,758.042876
78.870866,93,767.598358
151.502008,120,770.780852
28.042606,44,778.8668
146.568276,128,782.20925
144.478244,128,791.740659
33.829397,54,793.849933
127.480481,149,797.509961
41.22185,53,805.907362
62.043206,78,808.360316
191.331376,178,818.635265
66.729145,77,821.111747
282.169721,288,833.140123
174.182841,147,842.932119
54.595813,69,845.289132
55.670782,66,847.563186
58.912061,65,849.828451
44.599606,56,858.142384
151.611052,137,861.561762
130.931611,119,870.793827
43.041155,88,873.435771
40.149981,82,876.026196
33.745659,83,878.586929
-1.0,3,886.181918
38.873841,92,888.841325
18.672229,52,890.877656
68.025479,112,900.315995
234.645234,256,911.752824
203.968356,256,923.216434
130.2144,256,935.018359
22.719968,51,937.098143
66.713098,121,940.28799
15.525158,56,942.462054
14.68111,28,950.235354
224.91937,256,961.741785
39.613103,86,964.319108
36.396395,56,966.42907
51.62185,98,969.232342
3.191522,16,976.810521
12.050849,39,978.659427
17.702068,48,980.689972
30.129978,70,983.05498
19.552328,59,985.260757
15.14526,40,993.423766
18.356929,45,995.382813
9.382053,36,997.201092
17.316316,61,999.42579
18.422374,56,1001.606229
20.936563,48,1003.627856
-0.004732,10,1012.230597
12.089554,49,1014.242141
10.582536,47,1016.217829
11.866877,56,1018.355854
13.713359,41,1020.266535
11.186581,41,1022.14606
1.059622,22,1029.67471
14.45688,50,1031.721359
14.514358,38,1033.567317
13.861546,65,1035.854587
